X;CountryCode;RegionCode
Afghanistan;AFG;Southeastern Asia
Aland Islands;ALA;Western Europe
Albania;ALB;Western Europe
Algeria;DZA;Global Average
American Samoa;ASM;Southeastern Asia
Andorra;AND;Western Europe
Angola;AGO;Global Average
Anguilla;AIA;Rest of South America
Antarctica;ATA;Rest of South America
Antigua and Barbuda;ATG;Rest of South America
Argentina;ARG;Rest of South America
Armenia;ARM;Global Average
Aruba;ABW;Rest of South America
Australia;AUS;Global Average
Austria;AUT;Western Europe
Azerbaijan;AZE;Global Average
Bahamas;BHS;Rest of South America
Bahrain;BHR;Global Average
Bangladesh;BGD;Southeastern Asia
Barbados;BRB;Rest of South America
Belarus;BLR;Global Average
Belgium;BEL;Western Europe
Belize;BLZ;Rest of South America
Benin;BEN;Global Average
Bermuda;BMU;Rest of South America
Bhutan;BTN;Southeastern Asia
Bolivia, Plurinational State of;BOL;Rest of South America
Bonaire, Sint Eustatius and Saba;BES;Rest of South America
Bosnia and Herzegovina;BIH;Western Europe
Botswana;BWA;Global Average
Bouvet Island;BVT;Rest of South America
Brazil;BRA;Brazil
British Indian Ocean Territory;IOT;Southeastern Asia
Brunei Darussalam;BRN;Southeastern Asia
Bulgaria;BGR;Western Europe
Burkina Faso;BFA;Global Average
Burundi;BDI;Global Average
Cambodia;KHM;Southeastern Asia
Cameroon;CMR;Global Average
Canada;CAN;Canada
Cape Verde;CPV;Global Average
Cayman Islands;CYM;Rest of South America
Central African Republic;CAF;Global Average
Chad;TCD;Global Average
Chile;CHL;Rest of South America
China;CHN;China
Christmas Island;CXR;Southeastern Asia
Cocos (Keeling) Islands;CCK;Southeastern Asia
Colombia;COL;Rest of South America
Comoros;COM;Global Average
Congo;COG;Global Average
Congo, the Democratic Republic of the;COD;Global Average
Cook Islands;COK;Southeastern Asia
Costa Rica;CRI;Rest of South America
Cote d Ivoire;CIV;Global Average
Croatia;HRV;Western Europe
Cuba;CUB;Rest of South America
Curacao;CUW;Rest of South America
Cyprus;CYP;Western Europe
Czech Republic;CZE;Western Europe
Denmark;DNK;Western Europe
Djibouti;DJI;Global Average
Dominica;DMA;Rest of South America
Dominican Republic;DOM;Rest of South America
Ecuador;ECU;Rest of South America
Egypt;EGY;Global Average
El Salvador;SLV;Rest of South America
Equatorial Guinea;GNQ;Global Average
Eritrea;ERI;Global Average
Estonia;EST;Western Europe
Ethiopia;ETH;Global Average
Falkland Islands (Malvinas);FLK;Rest of South America
Faroe Islands;FRO;Western Europe
Fiji;FJI;Southeastern Asia
Finland;FIN;Western Europe
France;FRA;Western Europe
French Guiana;GUF;Rest of South America
French Polynesia;PYF;Southeastern Asia
French Southern Territories;ATF;Southeastern Asia
Gabon;GAB;Global Average
Gambia;GMB;Global Average
Georgia;GEO;Global Average
Germany;DEU;Western Europe
Ghana;GHA;Global Average
