X;CountryCode;RegionCode;RegionCodeEUR;RegionCodeEUR_ETP
Aruba;ABW;NCD;NCD;NCD
Afghanistan;AFG;OAS;OAS;OAS
Angola;AGO;AFR;AFR;AFR
Anguilla;AIA;NCD;NCD;NCD
Aland Islands;ALA;EUR;FIN;FIN
Albania;ALB;NCD;NCD;NCD
Andorra;AND;NCD;NCD;NCD
United Arab Emirates;ARE;MIE;MIE;MIE
Argentina;ARG;NCD;NCD;NCD
Armenia;ARM;MIE;MIE;MIE
American Samoa;ASM;OAS;OAS;OAS
Antarctica;ATA;NCD;NCD;NCD
French Southern Territories;ATF;OAS;OAS;OAS
Antigua and Barbuda;ATG;NCD;NCD;NCD
Australia;AUS;OCD;OCD;OCD
Austria;AUT;EUR;AUT;AUT
Azerbaijan;AZE;MIE;MIE;MIE
Burundi;BDI;AFR;AFR;AFR
Belgium;BEL;EUR;BEL;BEL
Benin;BEN;AFR;AFR;AFR
Bonaire, Sint Eustatius and Saba;BES;NCD;NCD;NCD
Burkina Faso;BFA;AFR;AFR;AFR
Bangladesh;BGD;OAS;OAS;OAS
Bulgaria;BGR;EUR;BGR;BGR
Bahrain;BHR;MIE;MIE;MIE
Bahamas;BHS;NCD;NCD;NCD
Bosnia and Herzegovina;BIH;NCD;NCD;NCD
Saint Barthelemy;BLM;NCD;NCD;NCD
Belarus;BLR;NCD;NCD;NCD
Belize;BLZ;NCD;NCD;NCD
Bermuda;BMU;NCD;NCD;NCD
Bolivia, Plurinational State of;BOL;NCD;NCD;NCD
Brazil;BRA;NCD;NCD;BRA
Barbados;BRB;NCD;NCD;NCD
Brunei Darussalam;BRN;OAS;OAS;OAS
Bhutan;BTN;OAS;OAS;OAS
Bouvet Island;BVT;NCD;NCD;NCD
Botswana;BWA;AFR;AFR;AFR
Central African Republic;CAF;AFR;AFR;AFR
Canada;CAN;OCD;OCD;OCD
Cocos (Keeling) Islands;CCK;OAS;OAS;OAS
Switzerland;CHE;OCD;OCD;OCD
Chile;CHL;NCD;NCD;NCD
China;CHN;CHN;CHN;CHN
Cote d Ivoire;CIV;AFR;AFR;AFR
Cameroon;CMR;AFR;AFR;AFR
Congo, the Democratic Republic of the;COD;AFR;AFR;AFR
Congo;COG;AFR;AFR;AFR
Cook Islands;COK;OAS;OAS;OAS
Colombia;COL;NCD;NCD;NCD
Comoros;COM;AFR;AFR;AFR
Cape Verde;CPV;AFR;AFR;AFR
Costa Rica;CRI;NCD;NCD;NCD
Cuba;CUB;NCD;NCD;NCD
Curacao;CUW;NCD;NCD;NCD
Christmas Island;CXR;OAS;OAS;OAS
Cayman Islands;CYM;NCD;NCD;NCD
Cyprus;CYP;EUR;CYP;CYP
Czech Republic;CZE;EUR;CZE;CZE
Germany;DEU;EUR;DEU;DEU
Djibouti;DJI;AFR;AFR;AFR
Dominica;DMA;NCD;NCD;NCD
Denmark;DNK;EUR;DNK;DNK
Dominican Republic;DOM;NCD;NCD;NCD
Algeria;DZA;AFR;AFR;AFR
Ecuador;ECU;NCD;NCD;NCD
Egypt;EGY;AFR;AFR;AFR
Eritrea;ERI;AFR;AFR;AFR
Western Sahara;ESH;AFR;AFR;AFR
Spain;ESP;EUR;ESP;ESP
Estonia;EST;EUR;EST;EST
Ethiopia;ETH;AFR;AFR;AFR
Finland;FIN;EUR;FIN;FIN
Fiji;FJI;OAS;OAS;OAS
Falkland Islands (Malvinas);FLK;OCD;OCD;OCD
France;FRA;EUR;FRA;FRA
Faroe Islands;FRO;EUR;DNK;DNK
Micronesia, Federated States of;FSM;OAS;OAS;OAS
Gabon;GAB;AFR;AFR;AFR
United Kingdom;GBR;EUR;GBR;GBR
Georgia;GEO;MIE;MIE;MIE
Guernsey;GGY;OCD;OCD;OCD
Ghana;GHA;AFR;AFR;AFR
Gibraltar;GIB;EUR;GBR;GBR
Guinea;GIN;AFR;AFR;AFR
Guadeloupe;GLP;OCD;OCD;OCD
Gambia;GMB;AFR;AFR;AFR
Guinea-Bissau;GNB;AFR;AFR;AFR
Equatorial Guinea;GNQ;AFR;AFR;AFR
Greece;GRC;EUR;GRC;GRC
Grenada;GRD;NCD;NCD;NCD
Greenland;GRL;EUR;DNK;DNK
Guatemala;GTM;NCD;NCD;NCD
French Guiana;GUF;OCD;OCD;OCD
Guam;GUM;OAS;OAS;OAS
Guyana;GUY;NCD;NCD;NCD
Hong Kong;HKG;CHN;CHN;CHN
Heard Island and McDonald Islands;HMD;OCD;OCD;OCD
Honduras;HND;NCD;NCD;NCD
Croatia;HRV;EUR;HRV;HRV
Haiti;HTI;NCD;NCD;NCD
Hungary;HUN;EUR;HUN;HUN
Indonesia;IDN;OAS;OAS;OAS
Isle of Man;IMN;EUR;GBR;GBR
India;IND;IND;IND;IND
British Indian Ocean Territory;IOT;OAS;OAS;OAS
Ireland;IRL;EUR;IRL;IRL
Iran, Islamic Republic of;IRN;MIE;MIE;MIE
Iraq;IRQ;MIE;MIE;MIE
Iceland;ISL;OCD;OCD;OCD
Israel;ISR;MIE;MIE;MIE
Italy;ITA;EUR;ITA;ITA
Jamaica;JAM;NCD;NCD;NCD
Jersey;JEY;EUR;GBR;GBR
Jordan;JOR;MIE;MIE;MIE
