"","region","regionAgg"
"1","AFG","Non-OECD"
"2","ALA","EUR"
"3","ALB","Non-OECD"
"4","DZA","Non-OECD"
"5","ASM","Non-OECD"
"6","AND","Non-OECD"
"7","AGO","Non-OECD"
"8","AIA","Non-OECD"
"9","ATA","Non-OECD"
"10","ATG","Non-OECD"
"11","ARG","Non-OECD"
"12","ARM","Non-OECD"
"13","ABW","Non-OECD"
"14","AUS","OECD"
"15","AUT","EUR"
"16","AZE","Non-OECD"
"17","BHS","Non-OECD"
"18","BHR","Non-OECD"
"19","BGD","Non-OECD"
"20","BRB","Non-OECD"
"21","BLR","Non-OECD"
"22","BEL","EUR"
"23","BLZ","Non-OECD"
"24","BEN","Non-OECD"
"25","BMU","Non-OECD"
"26","BTN","Non-OECD"
"27","BOL","Non-OECD"
"28","BES","Non-OECD"
"29","BIH","Non-OECD"
"30","BWA","Non-OECD"
"31","BVT","Non-OECD"
"32","BRA","BRA"
"33","IOT","Non-OECD"
"34","BRN","ASEAN"
"35","BGR","EUR"
"36","BFA","Non-OECD"
"37","BDI","Non-OECD"
"38","KHM","ASEAN"
"39","CMR","Non-OECD"
"40","CAN","OECD"
"41","CPV","Non-OECD"
"42","CYM","Non-OECD"
"43","CAF","Non-OECD"
"44","TCD","Non-OECD"
"45","CHL","OECD"
"46","CHN","CHN"
"47","CXR","Non-OECD"
"48","CCK","Non-OECD"
"49","COL","OECD"
"50","COM","Non-OECD"
"51","COG","Non-OECD"
"52","COD","Non-OECD"
"53","COK","Non-OECD"
"54","CRI","Non-OECD"
"55","CIV","Non-OECD"
"56","HRV","EUR"
"57","CUB","Non-OECD"
"58","CUW","Non-OECD"
"59","CYP","EUR"
"60","CZE","EUR"
"61","DNK","EUR"
"62","DJI","Non-OECD"
"63","DMA","Non-OECD"
"64","DOM","Non-OECD"
"65","ECU","Non-OECD"
"66","EGY","Non-OECD"
"67","SLV","Non-OECD"
"68","GNQ","Non-OECD"
"69","ERI","Non-OECD"
"70","EST","EUR"
"71","ETH","Non-OECD"
"72","FLK","Non-OECD"
"73","FRO","EUR"
"74","FJI","Non-OECD"
"75","FIN","EUR"
