X;CountryCode;11regions;5regions;2regions
Angola;AGO;AFR;Middle East and Africa;Global South
Benin;BEN;AFR;Middle East and Africa;Global South
Botswana;BWA;AFR;Middle East and Africa;Global South
British Indian Ocean Territory;IOT;AFR;Middle East and Africa;Global South
Burkina Faso;BFA;AFR;Middle East and Africa;Global South
Burundi;BDI;AFR;Middle East and Africa;Global South
Cameroon;CMR;AFR;Middle East and Africa;Global South
Cape Verde;CPV;AFR;Middle East and Africa;Global South
Central African Republic;CAF;AFR;Middle East and Africa;Global South
Chad;TCD;AFR;Middle East and Africa;Global South
Comoros;COM;AFR;Middle East and Africa;Global South
Cote d'Ivoire;CIV;AFR;Middle East and Africa;Global South
Congo;COG;AFR;Middle East and Africa;Global South
Djibouti;DJI;AFR;Middle East and Africa;Global South
Equatorial Guinea;GNQ;AFR;Middle East and Africa;Global South
Eritrea;ERI;AFR;Middle East and Africa;Global South
Ethiopia;ETH;AFR;Middle East and Africa;Global South
Gabon;GAB;AFR;Middle East and Africa;Global South
Gambia;GMB;AFR;Middle East and Africa;Global South
Ghana;GHA;AFR;Middle East and Africa;Global South
Guinea;GIN;AFR;Middle East and Africa;Global South
Guinea-Bissau;GNB;AFR;Middle East and Africa;Global South
Kenya;KEN;AFR;Middle East and Africa;Global South
Lesotho;LSO;AFR;Middle East and Africa;Global South
Liberia;LBR;AFR;Middle East and Africa;Global South
Madagascar;MDG;AFR;Middle East and Africa;Global South
Malawi;MWI;AFR;Middle East and Africa;Global South
Mali;MLI;AFR;Middle East and Africa;Global South
Mauritania;MRT;AFR;Middle East and Africa;Global South
Mauritius;MUS;AFR;Middle East and Africa;Global South
Mozambique;MOZ;AFR;Middle East and Africa;Global South
Namibia;NAM;AFR;Middle East and Africa;Global South
Niger;NER;AFR;Middle East and Africa;Global South
Nigeria;NGA;AFR;Middle East and Africa;Global South
Reunion;REU;AFR;Middle East and Africa;Global South
Rwanda;RWA;AFR;Middle East and Africa;Global South
Sao Tome and Principe;STP;AFR;Middle East and Africa;Global South
Senegal;SEN;AFR;Middle East and Africa;Global South
Seychelles;SYC;AFR;Middle East and Africa;Global South
Sierra Leone;SLE;AFR;Middle East and Africa;Global South
Somalia;SOM;AFR;Middle East and Africa;Global South
South Africa;ZAF;AFR;Middle East and Africa;Global South
Saint Helena;SHN;AFR;Middle East and Africa;Global South
Swaziland;SWZ;AFR;Middle East and Africa;Global South
Tanzania;TZA;AFR;Middle East and Africa;Global South
Togo;TGO;AFR;Middle East and Africa;Global South
Uganda;UGA;AFR;Middle East and Africa;Global South
Democratic Republic of the Congo;COD;AFR;Middle East and Africa;Global South
Zambia;ZMB;AFR;Middle East and Africa;Global South
Zimbabwe;ZWE;AFR;Middle East and Africa;Global South
Cambodia;KHM;CPA;Asia;Global South
