X;CountryCode;EDGEregions;RegionCode
Aruba;ABW;NCD;Other non-OECD
Afghanistan;AFG;OAS;Other non-OECD
Angola;AGO;AFR;Middle East & Africa
Anguilla;AIA;NCD;Other non-OECD
Aland Islands;ALA;EUR;European Union
Albania;ALB;NCD;Other non-OECD
Andorra;AND;NCD;Other non-OECD
United Arab Emirates;ARE;MIE;Middle East & Africa
Argentina;ARG;NCD;Other non-OECD
Armenia;ARM;MIE;Middle East & Africa
American Samoa;ASM;OAS;Other non-OECD
Antarctica;ATA;NCD;Other non-OECD
French Southern Territories;ATF;OAS;Other non-OECD
Antigua and Barbuda;ATG;NCD;Other non-OECD
Australia;AUS;OCD;Other OECD
Austria;AUT;EUR;European Union
Azerbaijan;AZE;MIE;Middle East & Africa
Burundi;BDI;AFR;Middle East & Africa
Belgium;BEL;EUR;European Union
Benin;BEN;AFR;Middle East & Africa
Bonaire, Sint Eustatius and Saba;BES;NCD;Other non-OECD
Burkina Faso;BFA;AFR;Middle East & Africa
Bangladesh;BGD;OAS;Other non-OECD
Bulgaria;BGR;EUR;European Union
Bahrain;BHR;MIE;Middle East & Africa
Bahamas;BHS;NCD;Other non-OECD
Bosnia and Herzegovina;BIH;NCD;Other non-OECD
Saint Barthelemy;BLM;NCD;Other non-OECD
Belarus;BLR;NCD;Other non-OECD
Belize;BLZ;NCD;Other non-OECD
Bermuda;BMU;NCD;Other non-OECD
Bolivia, Plurinational State of;BOL;NCD;Other non-OECD
Brazil;BRA;NCD;Other non-OECD
Barbados;BRB;NCD;Other non-OECD
Brunei Darussalam;BRN;OAS;Other non-OECD
Bhutan;BTN;OAS;Other non-OECD
Bouvet Island;BVT;NCD;Other non-OECD
Botswana;BWA;AFR;Middle East & Africa
Central African Republic;CAF;AFR;Middle East & Africa
Canada;CAN;OCD;Other OECD
Cocos (Keeling) Islands;CCK;OAS;Other non-OECD
Switzerland;CHE;OCD;Other OECD
Chile;CHL;NCD;Other non-OECD
China;CHN;CHN;China
Cote d Ivoire;CIV;AFR;Middle East & Africa
Cameroon;CMR;AFR;Middle East & Africa
Congo, the Democratic Republic of the;COD;AFR;Middle East & Africa
Congo;COG;AFR;Middle East & Africa
Cook Islands;COK;OAS;Other non-OECD
Colombia;COL;NCD;Other non-OECD
Comoros;COM;AFR;Middle East & Africa
Cape Verde;CPV;AFR;Middle East & Africa
Costa Rica;CRI;NCD;Other non-OECD
Cuba;CUB;NCD;Other non-OECD
Curacao;CUW;NCD;Other non-OECD
Christmas Island;CXR;OAS;Other non-OECD
Cayman Islands;CYM;NCD;Other non-OECD
Cyprus;CYP;EUR;European Union
Czech Republic;CZE;EUR;European Union
Germany;DEU;EUR;European Union
Djibouti;DJI;AFR;Middle East & Africa
Dominica;DMA;NCD;Other non-OECD
Denmark;DNK;EUR;European Union
Dominican Republic;DOM;NCD;Other non-OECD
Algeria;DZA;AFR;Middle East & Africa
Ecuador;ECU;NCD;Other non-OECD
Egypt;EGY;AFR;Middle East & Africa
Eritrea;ERI;AFR;Middle East & Africa
Western Sahara;ESH;AFR;Middle East & Africa
Spain;ESP;EUR;European Union
Estonia;EST;EUR;European Union
Ethiopia;ETH;AFR;Middle East & Africa
Finland;FIN;EUR;European Union
Fiji;FJI;OAS;Other non-OECD
Falkland Islands (Malvinas);FLK;OCD;Other OECD
France;FRA;EUR;European Union
Faroe Islands;FRO;EUR;European Union
Micronesia, Federated States of;FSM;OAS;Other non-OECD
Gabon;GAB;AFR;Middle East & Africa
United Kingdom;GBR;EUR;European Union
Georgia;GEO;MIE;Middle East & Africa
Guernsey;GGY;OCD;Other OECD
