CountryCode,RegionCode
AGO,Africa
BDI,Africa
BEN,Africa
BFA,Africa
BWA,Africa
CAF,Africa
CIV,Africa
CMR,Africa
COD,Africa
COG,Africa
COM,Africa
CPV,Africa
DJI,Africa
DZA,Africa
EGY,Africa
ERI,Africa
ESH,Africa
ETH,Africa
GAB,Africa
GHA,Africa
GIN,Africa
GMB,Africa
GNB,Africa
GNQ,Africa
KEN,Africa
LBR,Africa
LBY,Africa
LSO,Africa
MAR,Africa
MDG,Africa
MLI,Africa
MOZ,Africa
MRT,Africa
MUS,Africa
MWI,Africa
MYT,Africa
NAM,Africa
NER,Africa
NGA,Africa
REU,Africa
RWA,Africa
SDN,Africa
SEN,Africa
SHN,Africa
SLE,Africa
SOM,Africa
SSD,Africa
STP,Africa
SWZ,Africa
SYC,Africa
TCD,Africa
TGO,Africa
TUN,Africa
TZA,Africa
UGA,Africa
ZMB,Africa
ZWE,Africa
CHN,China
AUT,European Union
BEL,European Union
BGR,European Union
CYP,European Union
CZE,European Union
DEU,European Union
DNK,European Union
ESP,European Union
EST,European Union
FIN,European Union
FRA,European Union
FRO,European Union
GBR,European Union
GIB,European Union
GRC,European Union
GRL,European Union
HRV,European Union
HUN,European Union
IMN,European Union
IRL,European Union
ITA,European Union
JEY,European Union
LTU,European Union
LUX,European Union
LVA,European Union
MLT,European Union
NLD,European Union
POL,European Union
PRT,European Union
ROU,European Union
SVK,European Union
SVN,European Union
SWE,European Union
IND,India
JPN,Japan
ARE,Middle East
ARM,Middle East
AZE,Middle East
BHR,Middle East
GEO,Middle East
IRN,Middle East
IRQ,Middle East
ISR,Middle East
JOR,Middle East
KAZ,Middle East
KGZ,Middle East
KWT,Middle East
LBN,Middle East
OMN,Middle East
PSE,Middle East
QAT,Middle East
SAU,Middle East
SYR,Middle East
TJK,Middle East
TKM,Middle East
UZB,Middle East
YEM,Middle East
RUS,Russia
AFG,Southeast Asia
ASM,Southeast Asia
ATF,Southeast Asia
BGD,Southeast Asia
BRN,Southeast Asia
BTN,Southeast Asia
CCK,Southeast Asia
COK,Southeast Asia
CXR,Southeast Asia
FJI,Southeast Asia
FSM,Southeast Asia
GUM,Southeast Asia
IDN,Southeast Asia
IOT,Southeast Asia
KHM,Southeast Asia
KIR,Southeast Asia
KOR,Southeast Asia
LAO,Southeast Asia
LKA,Southeast Asia
MDV,Southeast Asia
MHL,Southeast Asia
MMR,Southeast Asia
MNG,Southeast Asia
MNP,Southeast Asia
MYS,Southeast Asia
NCL,Southeast Asia
NFK,Southeast Asia
NIU,Southeast Asia
NPL,Southeast Asia
PAK,Southeast Asia
PCN,Southeast Asia
PHL,Southeast Asia
PLW,Southeast Asia
PNG,Southeast Asia
PRK,Southeast Asia
PYF,Southeast Asia
SGP,Southeast Asia
SLB,Southeast Asia
THA,Southeast Asia
TKL,Southeast Asia
TLS,Southeast Asia
TON,Southeast Asia
TUV,Southeast Asia
TWN,Southeast Asia
UMI,Southeast Asia
VNM,Southeast Asia
VUT,Southeast Asia
WLF,Southeast Asia
USA,United States
