gcm,rcp,ssp,variable,start,end,folder,file
GFDL-ESM4,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_huss_global_daily_2011_2014.nc
,,,,,,,
IPSL-CM6A-LR,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
IPSL-CM6A-LR,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
IPSL-CM6A-LR,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
