region,enduse,carrier,correction
NCD,water_heating,heat,0.0
OAS,water_heating,heat,0.0
AFR,water_heating,heat,0.0
FIN,water_heating,heat,0.0
MIE,water_heating,heat,0.0
OCD,water_heating,heat,0.0
AUT,water_heating,heat,0.0
BEL,water_heating,heat,0.0
BGR,water_heating,heat,0.0
BRA,water_heating,heat,0.0
CHN,water_heating,heat,0.0
CYP,water_heating,heat,0.0
CZE,water_heating,heat,0.0
DEU,water_heating,heat,0.0
DNK,water_heating,heat,0.0
ESP,water_heating,heat,0.0
EST,water_heating,heat,0.0
FRA,water_heating,heat,0.0
GBR,water_heating,heat,0.0
GRC,water_heating,heat,0.0
HRV,water_heating,heat,0.0
HUN,water_heating,heat,0.0
IND,water_heating,heat,0.0
IRL,water_heating,heat,0.0
ITA,water_heating,heat,0.0
JPN,water_heating,heat,0.0
LTU,water_heating,heat,0.0
LUX,water_heating,heat,0.0
LVA,water_heating,heat,0.0
MEX,water_heating,heat,0.0
MLT,water_heating,heat,0.0
NLD,water_heating,heat,0.0
POL,water_heating,heat,0.0
USA,water_heating,heat,0.0
PRT,water_heating,heat,0.0
ROU,water_heating,heat,0.0
RUS,water_heating,heat,0.0
SVK,water_heating,heat,0.0
SVN,water_heating,heat,0.0
SWE,water_heating,heat,0.0
ZAF,water_heating,heat,0.0
OCD,water_heating,biomod,0.0
OCD,cooking,biomod,0.0
EUR,water_heating,biomod,0.0
EUR,cooking,biomod,0.0
USA,water_heating,biomod,0.0
USA,cooking,biomod,0.0
EUR,water_heating,biotrad,0.0
EUR,cooking,biotrad,0.0
RUS,space_heating,heat,0.6
RUS,water_heating,natgas,0.7
RUS,cooking,natgas,0.7
RUS,water_heating,elec,0.07
RUS,cooking,elec,0.07
RUS,space_heating,elec,0.03
RUS,space_heating,coal,0.04
RUS,water_heating,coal,0.04
RUS,cooking,coal,0.04
RUS,space_heating,petrol,0.1
RUS,water_heating,petrol,0.1
RUS,cooking,petrol,0.1
IND,space_heating,biotrad,0.8
IND,water_heating,biotrad,0.8
IND,space_heating,coal,0.1
IND,water_heating,coal,0.1
IND,cooking,coal,0.1
IND,space_heating,petrol,0.12
IND,water_heating,petrol,0.12
IND,space_heating,natgas,0.0
IND,water_heating,natgas,0.0
IND,space_heating,elec,0.02
IND,water_heating,elec,0.02
IND,cooking,natgas,0.04
IND,cooking,biotrad,0.5
IND,cooking,petrol,0.5
