"";"gcm";"rcp";"ssp";"variable";"start";"end";"folder";"file";"split"
"1";"";"";"";"CountryMask";NA;NA;"/p/projects/isimip/isimip/ISIMIP3b/InputData/geo_conditions/countrymasks";"countrymasks.nc";NA
"2";"";"historical";"historical";"pop";1901;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/socioeconomic/pop/histsoc";"population_histsoc_30arcmin_annual_1901_2014.nc";NA
"3";"IPSL-CM6A-LR";"historical";"historical";"tas";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_1961_1970.nc";TRUE
"4";"IPSL-CM6A-LR";"historical";"historical";"tas";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_1971_1980.nc";TRUE
"5";"IPSL-CM6A-LR";"historical";"historical";"tas";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_1981_1990.nc";TRUE
"6";"IPSL-CM6A-LR";"historical";"historical";"tas";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_1991_2000.nc";TRUE
"7";"IPSL-CM6A-LR";"historical";"historical";"tas";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc";TRUE
"8";"IPSL-CM6A-LR";"historical";"historical";"tas";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc";FALSE
"9";"IPSL-CM6A-LR";"historical";"historical";"rsds";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_1961_1970.nc";TRUE
"10";"IPSL-CM6A-LR";"historical";"historical";"rsds";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_1971_1980.nc";TRUE
"11";"IPSL-CM6A-LR";"historical";"historical";"rsds";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_1981_1990.nc";TRUE
"12";"IPSL-CM6A-LR";"historical";"historical";"rsds";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_1991_2000.nc";TRUE
"13";"IPSL-CM6A-LR";"historical";"historical";"rsds";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc";TRUE
"14";"IPSL-CM6A-LR";"historical";"historical";"rsds";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc";FALSE
"15";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_1961_1970.nc";TRUE
"16";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_1971_1980.nc";TRUE
"17";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_1981_1990.nc";TRUE
"18";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_1991_2000.nc";TRUE
"19";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc";TRUE
"20";"IPSL-CM6A-LR";"historical";"historical";"sfcwind";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc";FALSE
"21";"IPSL-CM6A-LR";"historical";"historical";"huss";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_1961_1970.nc";TRUE
"22";"IPSL-CM6A-LR";"historical";"historical";"huss";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_1971_1980.nc";TRUE
"23";"IPSL-CM6A-LR";"historical";"historical";"huss";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_1981_1990.nc";TRUE
"24";"IPSL-CM6A-LR";"historical";"historical";"huss";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_1991_2000.nc";TRUE
"25";"IPSL-CM6A-LR";"historical";"historical";"huss";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR";"ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc";TRUE
