"";"gcm";"rcp";"ssp";"variable";"start";"end";"folder";"file";"split"
"1";"";"";"";"CountryMask";NA;NA;"/p/projects/isimip/isimip/ISIMIP3b/InputData/geo_conditions/countrymasks";"countrymasks.nc";NA
"2";"";NA;"2";"pop";2015;2100;"/p/tmp/volkholz/isimip/population_gdp_litpop/hires/final";"population_ssp2_30arcmin_annual_2015_2100.nc";NA
"3";"MPI-ESM1-2-HR";"4.5";"2";"tas";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2015_2020.nc";FALSE
"4";"MPI-ESM1-2-HR";"4.5";"2";"tas";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2021_2030.nc";TRUE
"5";"MPI-ESM1-2-HR";"4.5";"2";"tas";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2031_2040.nc";TRUE
"6";"MPI-ESM1-2-HR";"4.5";"2";"tas";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2041_2050.nc";TRUE
"7";"MPI-ESM1-2-HR";"4.5";"2";"tas";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2051_2060.nc";TRUE
"8";"MPI-ESM1-2-HR";"4.5";"2";"tas";2061;2070;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2061_2070.nc";TRUE
"9";"MPI-ESM1-2-HR";"4.5";"2";"tas";2071;2080;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2071_2080.nc";TRUE
"10";"MPI-ESM1-2-HR";"4.5";"2";"tas";2081;2090;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2081_2090.nc";TRUE
"11";"MPI-ESM1-2-HR";"4.5";"2";"tas";2091;2100;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_tas_global_daily_2091_2100.nc";TRUE
"12";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2015_2020.nc";FALSE
"13";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2021_2030.nc";TRUE
"14";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2031_2040.nc";TRUE
"15";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2041_2050.nc";TRUE
"16";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2051_2060.nc";TRUE
"17";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2061;2070;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2061_2070.nc";TRUE
"18";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2071;2080;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2071_2080.nc";TRUE
"19";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2081;2090;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2081_2090.nc";TRUE
"20";"MPI-ESM1-2-HR";"4.5";"2";"rsds";2091;2100;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_rsds_global_daily_2091_2100.nc";TRUE
"21";"MPI-ESM1-2-HR";"4.5";"2";"sfcwind";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_sfcwind_global_daily_2015_2020.nc";FALSE
"22";"MPI-ESM1-2-HR";"4.5";"2";"sfcwind";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_sfcwind_global_daily_2021_2030.nc";TRUE
"23";"MPI-ESM1-2-HR";"4.5";"2";"sfcwind";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_sfcwind_global_daily_2031_2040.nc";TRUE
"24";"MPI-ESM1-2-HR";"4.5";"2";"sfcwind";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_sfcwind_global_daily_2041_2050.nc";TRUE
"25";"MPI-ESM1-2-HR";"4.5";"2";"sfcwind";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/SecondaryInputData/climate/atmosphere/bias-adjusted/global/daily/ssp245/MPI-ESM1-2-HR";"mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp245_sfcwind_global_daily_2051_2060.nc";TRUE
