"";"gcm";"rcp";"ssp";"variable";"start";"end";"folder";"file";"split"
"1";"";"";"";"CountryMask";NA;NA;"/p/projects/isimip/isimip/ISIMIP3b/InputData/geo_conditions/countrymasks";"countrymasks.nc";NA
"2";"";"historical";"historical";"pop";1901;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/socioeconomic/pop/histsoc";"population_histsoc_30arcmin_annual_1901_2014.nc";NA
"3";"UKESM1-0-LL";"historical";"historical";"tas";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_1961_1970.nc";TRUE
"4";"UKESM1-0-LL";"historical";"historical";"tas";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_1971_1980.nc";TRUE
"5";"UKESM1-0-LL";"historical";"historical";"tas";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_1981_1990.nc";TRUE
"6";"UKESM1-0-LL";"historical";"historical";"tas";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_1991_2000.nc";TRUE
"7";"UKESM1-0-LL";"historical";"historical";"tas";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_2001_2010.nc";TRUE
"8";"UKESM1-0-LL";"historical";"historical";"tas";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_2011_2014.nc";FALSE
"9";"UKESM1-0-LL";"historical";"historical";"rsds";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_1961_1970.nc";TRUE
"10";"UKESM1-0-LL";"historical";"historical";"rsds";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_1971_1980.nc";TRUE
"11";"UKESM1-0-LL";"historical";"historical";"rsds";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_1981_1990.nc";TRUE
"12";"UKESM1-0-LL";"historical";"historical";"rsds";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_1991_2000.nc";TRUE
"13";"UKESM1-0-LL";"historical";"historical";"rsds";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_2001_2010.nc";TRUE
"14";"UKESM1-0-LL";"historical";"historical";"rsds";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_2011_2014.nc";FALSE
"15";"UKESM1-0-LL";"historical";"historical";"sfcwind";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_1961_1970.nc";TRUE
"16";"UKESM1-0-LL";"historical";"historical";"sfcwind";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_1971_1980.nc";TRUE
"17";"UKESM1-0-LL";"historical";"historical";"sfcwind";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_1981_1990.nc";TRUE
"18";"UKESM1-0-LL";"historical";"historical";"sfcwind";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_1991_2000.nc";TRUE
"19";"UKESM1-0-LL";"historical";"historical";"sfcwind";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_2001_2010.nc";TRUE
"20";"UKESM1-0-LL";"historical";"historical";"sfcwind";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_2011_2014.nc";FALSE
"21";"UKESM1-0-LL";"historical";"historical";"huss";1961;1970;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_1961_1970.nc";TRUE
"22";"UKESM1-0-LL";"historical";"historical";"huss";1971;1980;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_1971_1980.nc";TRUE
"23";"UKESM1-0-LL";"historical";"historical";"huss";1981;1990;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_1981_1990.nc";TRUE
"24";"UKESM1-0-LL";"historical";"historical";"huss";1991;2000;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_1991_2000.nc";TRUE
"25";"UKESM1-0-LL";"historical";"historical";"huss";2001;2010;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_2001_2010.nc";TRUE
"26";"UKESM1-0-LL";"historical";"historical";"huss";2011;2014;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_2011_2014.nc";FALSE
