"";"gcm";"rcp";"ssp";"variable";"start";"end";"folder";"file";"split"
"1";"";"";"";"CountryMask";NA;NA;"/p/projects/isimip/isimip/ISIMIP3b/InputData/geo_conditions/countrymasks";"countrymasks.nc";NA
"2";"";NA;"3";"pop";2015;2100;"/p/tmp/volkholz/isimip/population_gdp_litpop/hires/final";"population_ssp3_30arcmin_annual_2015_2100.nc";NA
"3";"UKESM1-0-LL";"7";"3";"tas";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2015_2020.nc";FALSE
"4";"UKESM1-0-LL";"7";"3";"tas";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2021_2030.nc";TRUE
"5";"UKESM1-0-LL";"7";"3";"tas";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2031_2040.nc";TRUE
"6";"UKESM1-0-LL";"7";"3";"tas";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2041_2050.nc";TRUE
"7";"UKESM1-0-LL";"7";"3";"tas";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2051_2060.nc";TRUE
"8";"UKESM1-0-LL";"7";"3";"tas";2061;2070;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2061_2070.nc";TRUE
"9";"UKESM1-0-LL";"7";"3";"tas";2071;2080;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2071_2080.nc";TRUE
"10";"UKESM1-0-LL";"7";"3";"tas";2081;2090;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2081_2090.nc";TRUE
"11";"UKESM1-0-LL";"7";"3";"tas";2091;2100;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily_2091_2100.nc";TRUE
"12";"UKESM1-0-LL";"7";"3";"rsds";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2015_2020.nc";FALSE
"13";"UKESM1-0-LL";"7";"3";"rsds";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2021_2030.nc";TRUE
"14";"UKESM1-0-LL";"7";"3";"rsds";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2031_2040.nc";TRUE
"15";"UKESM1-0-LL";"7";"3";"rsds";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2041_2050.nc";TRUE
"16";"UKESM1-0-LL";"7";"3";"rsds";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2051_2060.nc";TRUE
"17";"UKESM1-0-LL";"7";"3";"rsds";2061;2070;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2061_2070.nc";TRUE
"18";"UKESM1-0-LL";"7";"3";"rsds";2071;2080;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2071_2080.nc";TRUE
"19";"UKESM1-0-LL";"7";"3";"rsds";2081;2090;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2081_2090.nc";TRUE
"20";"UKESM1-0-LL";"7";"3";"rsds";2091;2100;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_rsds_global_daily_2091_2100.nc";TRUE
"21";"UKESM1-0-LL";"7";"3";"sfcwind";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2015_2020.nc";FALSE
"22";"UKESM1-0-LL";"7";"3";"sfcwind";2021;2030;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2021_2030.nc";TRUE
"23";"UKESM1-0-LL";"7";"3";"sfcwind";2031;2040;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2031_2040.nc";TRUE
"24";"UKESM1-0-LL";"7";"3";"sfcwind";2041;2050;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2041_2050.nc";TRUE
"25";"UKESM1-0-LL";"7";"3";"sfcwind";2051;2060;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2051_2060.nc";TRUE
"26";"UKESM1-0-LL";"7";"3";"sfcwind";2061;2070;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2061_2070.nc";TRUE
"27";"UKESM1-0-LL";"7";"3";"sfcwind";2071;2080;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2071_2080.nc";TRUE
"28";"UKESM1-0-LL";"7";"3";"sfcwind";2081;2090;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2081_2090.nc";TRUE
"29";"UKESM1-0-LL";"7";"3";"sfcwind";2091;2100;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_sfcwind_global_daily_2091_2100.nc";TRUE
"30";"UKESM1-0-LL";"7";"3";"huss";2015;2020;"/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/UKESM1-0-LL";"ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_huss_global_daily_2015_2020.nc";FALSE
