variable,.variable_Brick,hs,typ,qty,.comment
Total floor area of single family dwels,v_stock,biom,SFH,area,
Total floor area of single family dwels,v_stock,dihe,SFH,area,
Total floor area of single family dwels,v_stock,ehp1,SFH,area,
Total floor area of single family dwels,v_stock,gabo,SFH,area,
Total floor area of single family dwels,v_stock,libo,SFH,area,
Total floor area of single family dwels,v_stock,reel,SFH,area,
Total floor area of single family dwels,v_stock,sobo,SFH,area,
Total floor area of multi family dwels,v_stock,biom,MFH,area,
Total floor area of multi family dwels,v_stock,dihe,MFH,area,
Total floor area of multi family dwels,v_stock,ehp1,MFH,area,
Total floor area of multi family dwels,v_stock,gabo,MFH,area,
Total floor area of multi family dwels,v_stock,libo,MFH,area,
Total floor area of multi family dwels,v_stock,reel,MFH,area,
Total floor area of multi family dwels,v_stock,sobo,MFH,area,
Total floor area of com buildings,v_stock,biom,Com,area,
Total floor area of com buildings,v_stock,dihe,Com,area,
Total floor area of com buildings,v_stock,ehp1,Com,area,
Total floor area of com buildings,v_stock,gabo,Com,area,
Total floor area of com buildings,v_stock,libo,Com,area,
Total floor area of com buildings,v_stock,reel,Com,area,
Total floor area of com buildings,v_stock,sobo,Com,area,
No of permanently occupied dwel,v_stock,biom,SFH,dwel,
No of permanently occupied dwel,v_stock,dihe,SFH,dwel,
No of permanently occupied dwel,v_stock,ehp1,SFH,dwel,
No of permanently occupied dwel,v_stock,gabo,SFH,dwel,
No of permanently occupied dwel,v_stock,libo,SFH,dwel,
No of permanently occupied dwel,v_stock,reel,SFH,dwel,
No of permanently occupied dwel,v_stock,sobo,SFH,dwel,
No of permanently occupied dwel,v_stock,biom,MFH,dwel,
No of permanently occupied dwel,v_stock,dihe,MFH,dwel,
No of permanently occupied dwel,v_stock,ehp1,MFH,dwel,
No of permanently occupied dwel,v_stock,gabo,MFH,dwel,
No of permanently occupied dwel,v_stock,libo,MFH,dwel,
No of permanently occupied dwel,v_stock,reel,MFH,dwel,
No of permanently occupied dwel,v_stock,sobo,MFH,dwel,
No of single family dwel permanently occupied,v_stock,biom,SFH,dwel,
No of single family dwel permanently occupied,v_stock,dihe,SFH,dwel,
No of single family dwel permanently occupied,v_stock,ehp1,SFH,dwel,
No of single family dwel permanently occupied,v_stock,gabo,SFH,dwel,
No of single family dwel permanently occupied,v_stock,libo,SFH,dwel,
No of single family dwel permanently occupied,v_stock,reel,SFH,dwel,
No of single family dwel permanently occupied,v_stock,sobo,SFH,dwel,
No of multi family dwel permanently occupied,v_stock,biom,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,dihe,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,ehp1,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,gabo,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,libo,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,reel,MFH,dwel,
No of multi family dwel permanently occupied,v_stock,sobo,MFH,dwel,
No of com buildings,v_stock,biom,Com,dwel,
No of com buildings,v_stock,dihe,Com,dwel,
No of com buildings,v_stock,ehp1,Com,dwel,
No of com buildings,v_stock,gabo,Com,dwel,
No of com buildings,v_stock,libo,Com,dwel,
No of com buildings,v_stock,reel,Com,dwel,
No of com buildings,v_stock,sobo,Com,dwel,
No of com buildings with electric heating,v_stock,reel,Com,dwel,
No of com buildings with electric heating,v_stock,ehp1,Com,dwel,
No of com buildings with electric heaters (not heat-pump),v_stock,reel,Com,dwel,
No of com buildings with heat pumps,v_stock,ehp1,Com,dwel,
#No of com buildings with heating by solar thermal energy,v_stock,,Com,dwel,Not yet implemented
No of com buildings with heating on biomass,v_stock,biom,Com,dwel,
No of com buildings with heating on coal,v_stock,sobo,Com,dwel,
#No of com buildings with heating on fuel oil,v_stock,,Com,dwel,could be aggregated and mapped to libo
#No of com buildings with heating on liquefied petroleum gas,v_stock,,Com,dwel,could be aggregated and mapped to libo
No of com buildings with heating on natural gas,v_stock,gabo,Com,dwel,
No of dwels with electric heating,v_stock,reel,SFH,dwel,
No of dwels with electric heating,v_stock,reel,MFH,dwel,
No of dwels with electric heating,v_stock,ehp1,SFH,dwel,
No of dwels with electric heating,v_stock,ehp1,MFH,dwel,
No of dwels with electric heaters (not heat-pump),v_stock,reel,SFH,dwel,
No of dwels with electric heaters (not heat-pump),v_stock,reel,MFH,dwel,
No of dwels with heat pumps,v_stock,ehp1,SFH,dwel,
No of dwels with heat pumps,v_stock,ehp1,MFH,dwel,
#No of dwels with heating by solar thermal energy,v_stock,,SFH,dwel,Not yet implemented
#No of dwels with heating by solar thermal energy,v_stock,,MFH,dwel,Not yet implemented
No of dwels with heating on biomass,v_stock,biom,SFH,dwel,
No of dwels with heating on biomass,v_stock,biom,MFH,dwel,
No of dwels with heating on coal,v_stock,sobo,SFH,dwel,
No of dwels with heating on coal,v_stock,sobo,MFH,dwel,
#No of dwels with heating on fuel oil,v_stock,,SFH,dwel,could be aggregated and mapped to libo
#No of dwels with heating on fuel oil,v_stock,,MFH,dwel,could be aggregated and mapped to libo
#No of dwels with heating on LPG,v_stock,,SFH,dwel,could be aggregated and mapped to libo
#No of dwels with heating on LPG,v_stock,,MFH,dwel,could be aggregated and mapped to libo
No of dwels with heating on natural gas,v_stock,gabo,SFH,dwel,
No of dwels with heating on natural gas,v_stock,gabo,MFH,dwel,
