variable,.variable_Brick,vin,typ,.comment
Share of com buildings built after 2010,,2011-2020,Com,
Share of com buildings built before 1945,,before 1945,Com,
Share of com buildings built between 1945-1969,,1945-1969,Com,
Share of com buildings built between 1970-1979,,1970-1979,Com,
Share of com buildings built between 1980-1989,,1980-1989,Com,
Share of com buildings built between 1990-1999,,1990-1999,Com,
Share of com buildings built between 2000-2010,,2000-2010,Com,
Share of dwels built after 2010,,2011-2020,SFH,
Share of dwels built after 2010,,2011-2020,MFH,
Share of dwels built before 1945,,before 1945,SFH,
Share of dwels built before 1945,,before 1945,MFH,
Share of dwels built between 1945 and 1969,,1945-1969,SFH,
Share of dwels built between 1945 and 1969,,1945-1969,MFH,
Share of dwels built between 1970 and 1979,,1970-1979,SFH,
Share of dwels built between 1970 and 1979,,1970-1979,MFH,
Share of dwels built between 1980 and 1989,,1980-1989,SFH,
Share of dwels built between 1980 and 1989,,1980-1989,MFH,
Share of dwels built between 1990 and 1999,,1990-1999,SFH,
Share of dwels built between 1990 and 1999,,1990-1999,MFH,
Share of dwels built between 2000 and 2010,,2000-2010,SFH,
Share of dwels built between 2000 and 2010,,2000-2010,MFH,
