variable,.variableTilte,.dataSet,.variable_Brick,typ,hs,.comment
nbrlprpet_nbrlpr,Stock of dwellings with oil space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,libo,
nbrlprpet_nbrlpr,Stock of dwellings with oil space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,libo,
nbrlprgaz_nbrlpr,Stock of dwellings with gas space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,gabo,
nbrlprgaz_nbrlpr,Stock of dwellings with gas space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,gabo,
nbrlprcms_nbrlpr,Stock of dwellings with coallignitepeat space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,sobo,
nbrlprcms_nbrlpr,Stock of dwellings with coallignitepeat space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,sobo,
nbrlprvap_nbrlpr,Stock of dwellings with district heating space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,dihe,
nbrlprvap_nbrlpr,Stock of dwellings with district heating space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,dihe,
nbrlprboi_nbrlpr,Stock of dwellings with wood space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,biom,
nbrlprboi_nbrlpr,Stock of dwellings with wood space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,biom,
nbrlprele_nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,SFH,reel,
nbrlprele_nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),households,v_stock/v_stock,MFH,ehp1,
nbriprpet_nbripr,Stock of flats with oil space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,libo,
nbriprgaz_nbripr,Stock of flats with gas space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,gabo,
nbriprcms_nbripr,Stock of flats with coallignitepeat space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,sobo,
nbriprvap_nbripr,Stock of flats with district heating space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,dihe,
nbriprboi_nbripr,Stock of flats with wood space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,biom,
nbriprele_nbripr,Stock of flats with electric space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,reel,
nbriprele_nbripr,Stock of flats with electric space heating_Stock of multifamily dwellings (permanently occupied),households,v_stock/v_stock,MFH,ehp1,
nbrmprpet_nbrmpr,Stock of houses with oil space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,libo,
nbrmprgaz_nbrmpr,Stock of houses with gas space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,gabo,
nbrmprcms_nbrmpr,Stock of houses with coallignitepeat space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,sobo,
nbrmprvap_nbrmpr,Stock of houses with district heating space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,dihe,
nbrmprboi_nbrmpr,Stock of houses with wood space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,biom,
nbrmprele_nbrmpr,Stock of houses with electric space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,reel,
nbrmprele_nbrmpr,Stock of houses with electric space heating_Stock of single family dwellings (permanently occupied),households,v_stock/v_stock,SFH,ehp1,
