variable,considerSales,technologyBRICK,comment
Sales|Hot water|Gas and oil|Conventional,FALSE,,
Sales|Hot water|Gas and oil|Condensing,FALSE,,
Sales|Hot water|Gas and oil,TRUE,gabo_libo,
Sales|Hot water|Oil,FALSE,,
Sales|Blow air burners|Oil,TRUE,libo,
Sales|Blow air burners|Gas,TRUE,gabo,
Sales|Blow air burners,FALSE,,
Sales|Water radiators|Radiators,FALSE,,
Sales|Water radiators|Towel radiators,FALSE,,
Sales|Boilers|Biomass,TRUE,biom,
Sales|Solar Thermal|Individual,FALSE,,
Sales|Solar Thermal|Combined,FALSE,,
Sales|Solar Thermal|Collective,FALSE,,
Sales|Solar Thermal,FALSE,,
Sales|Heat pumps|Air/water,FALSE,,
Sales|Heat pumps|Water/water - geothermal,FALSE,,
Sales|Heat pumps|Air/air,FALSE,,
Sales|Heat pumps|Hot water,FALSE,,
Sales|Heat pumps|Air/water|High temperature|55-65 deg C,FALSE,,
Sales|Heat pumps|Air/water|High temperature|>65 deg C,FALSE,,
Sales|Heat pumps|Air/air|multi-split,FALSE,,
Sales|Heat pumps|Air/air|mono-split,FALSE,,
